,Ratio,Model,F1_score,PR_AUC,ROC_AUC,Recall_minority,SHAP_ESS,LIME_ESS
0,balanced_1_1,LogisticRegression,0.09620523784072689,0.4538436562495162,0.9750731785398459,0.9183673469387755,0.9999999999999998,0.9999999999999998
1,balanced_1_1,RandomForest,0.09100204498977506,0.6910599008205205,0.9758635534264353,0.9081632653061225,0.6041871921182265,0.9999999999999998
2,balanced_1_1,XGBoost,0.06656694091249066,0.6695294203518725,0.9731503128122381,0.9081632653061225,0.9999999999999998,0.9999999999999998
3,mild_1_5,LogisticRegression,0.28903654485049834,0.7368454554817302,0.9718804551927693,0.8877551020408163,0.9999999999999998,0.9999999999999998
4,mild_1_5,RandomForest,0.4887640449438202,0.7153664350072277,0.9748439348305445,0.8877551020408163,0.6194581280788176,0.9999999999999998
5,mild_1_5,XGBoost,0.34442270058708413,0.7695595802731701,0.9748729155421313,0.8979591836734694,0.9999999999999998,0.9999999999999998
6,moderate_1_10,LogisticRegression,0.5304878048780488,0.7393906114368671,0.9700737814822047,0.8877551020408163,0.9999999999999998,0.9999999999999998
7,moderate_1_10,RandomForest,0.7078189300411523,0.7149297655891216,0.9769016550767746,0.8775510204081632,0.5552709359605911,0.9999999999999998
8,moderate_1_10,XGBoost,0.6254545454545455,0.7220624708747836,0.9814410394152033,0.8775510204081632,0.9999999999999998,0.9999999999999998
9,severe_1_50,LogisticRegression,0.7248908296943232,0.7420106129194033,0.9686076984254591,0.8469387755102041,0.9999999999999998,0.9999999999999998
10,severe_1_50,RandomForest,0.7889908256880734,0.8270543650786562,0.9734023463071216,0.8775510204081632,0.6612807881773397,0.9999999999999998
11,severe_1_50,XGBoost,0.7906976744186046,0.7765302222343865,0.9753007175014069,0.8673469387755102,0.9999999999999998,0.9999999999999998
12,extreme_1_100,LogisticRegression,0.7685185185185185,0.7491925314549961,0.9684013342253053,0.8469387755102041,0.9999999999999998,0.9999999999999998
13,extreme_1_100,RandomForest,0.794392523364486,0.854684762579038,0.9736469327460866,0.8673469387755102,0.5380295566502463,0.9999999999999998
14,extreme_1_100,XGBoost,0.7782805429864253,0.8586938912601747,0.9779622773420003,0.8775510204081632,0.9999999999999998,0.9999999999999998
